Where,Euler1,Euler2,Euler3,Time,Input,Target,Ori
Eschenheimer Turmwarte,0,0,0,0.02,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.02,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.3333333,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.02334499,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.02377093,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008350015,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.01213098,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007539034,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008296013,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.01180506,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007863998,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008356929,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.01232207,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.01538301,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008074999,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008477926,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.01999807,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.01934493,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008195996,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007874966,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008144021,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007954001,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008123994,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007603049,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008360982,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008053064,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008248925,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.01165998,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007806063,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007872939,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008693099,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007909894,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.01191604,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.01209605,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007638931,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007861972,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008382082,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007791996,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007784963,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008427978,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007822037,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008116961,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008118987,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007474065,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007954955,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008477092,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.02027297,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.02042794,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.01124203,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.01204395,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.00821805,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007387042,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.008492947,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007567048,null,Fog,1000
Eschenheimer Turmwarte,0,0,0,0.007982969,null,Fog,1000
