Where,Euler1,Euler2,Euler3,Time,Input
Init,0,0,0,0.02,0
Init,0,0,0,0.02,null
Init,0,0,0,0.188866,null
Init,0,0,0,0.01738405,null
Init,0,0,0,0.008054972,null
Init,0,0,0,0.003992975,null
Init,0,0,0,0.003860056,null
Init,0,0,0,0.004176974,null
Init,0,0,0,0.003757,null
Init,0,0,0,0.003858984,null
Init,0,0,0,0.004032016,null
Init,0,0,0,0.004028022,null
Init,0,0,0,0.004058003,null
Init,0,0,0,0.004188955,null
Init,0,0,0,0.003857017,null
Init,0,0,0,0.00395298,null
Init,0,0,0,0.003925025,null
Init,0,0,0,0.003893971,null
Init,0,0,0,0.003922999,null
Init,0,0,0,0.004383028,null
Init,0,0,0,0.003971994,null
Init,0,0,0,0.004037023,null
Init,0,0,0,0.003881991,null
Init,0,0,0,0.003978014,null
Init,0,0,0,0.00375396,null
Init,0,0,0,0.004216015,null
Init,0,0,0,0.003919005,null
Init,0,0,0,0.004109979,null
Init,0,0,0,0.003812015,null
Init,0,0,0,0.00425899,null
Init,0,0,0,0.004175007,null
Init,0,0,0,0.003910005,null
Init,0,0,0,0.003839016,null
Init,0,0,0,0.004028976,null
Init,0,0,0,0.003799021,null
Init,0,0,0,0.004525006,null
Init,0,0,0,0.003696978,null
Init,0,0,0,0.003970981,null
Init,0,0,0,0.004001021,null
Init,0,0,0,0.004055977,null
Init,0,0,0,0.003691018,null
Init,0,0,0,0.004257023,null
Init,0,0,0,0.003763974,null
Init,0,0,0,0.004040003,null
Init,0,0,0,0.004006982,null
Init,0,0,0,0.003983021,null
Init,0,0,0,0.004015982,null
Init,0,0,0,0.004139006,null
Init,0,0,0,0.004184008,null
Init,0,0,0,0.003868997,null
Init,0,0,0,0.003789008,null
Init,0,0,0,0.004131019,null
Init,0,0,0,0.00413996,null
Init,0,0,0,0.003850996,null
Init,0,0,0,0.004037023,null
Init,0,0,0,0.004231989,null
Init,0,0,0,0.003854036,null
Init,0,0,0,0.003790975,null
Init,0,0,0,0.004311025,null
Init,0,0,0,0.003766,null
Init,0,0,0,0.004114985,null
Init,0,0,0,0.003951013,null
Init,0,0,0,0.003791988,null
Init,0,0,0,0.004027963,null
Init,0,0,0,0.004238009,null
Init,0,0,0,0.00396204,null
Init,0,0,0,0.003966987,null
Init,0,0,0,0.003862977,null
Init,0,0,0,0.004126012,null
Init,0,0,0,0.004091024,null
Init,0,0,0,0.003977001,null
Init,0,0,0,0.003836989,null
Init,0,0,0,0.004072964,null
Init,0,0,0,0.003948033,null
Init,0,0,0,0.003897011,null
Init,0,0,0,0.00424701,null
Init,0,0,0,0.003823996,null
Init,0,0,0,0.004051983,null
Init,0,0,0,0.003897965,null
Init,0,0,0,0.003943026,null
Init,0,0,0,0.004505992,null
Init,0,0,0,0.003585994,null
Init,0,0,0,0.003961027,null
Init,0,0,0,0.004117966,null
Init,0,0,0,0.003904998,null
Init,0,0,0,0.003966033,null
Init,0,0,0,0.004082978,null
Init,0,0,0,0.004020989,null
Init,0,0,0,0.003945053,null
Init,0,0,0,0.004207969,null
Init,0,0,0,0.003787994,null
Init,0,0,0,0.004119992,null
Init,0,0,0,0.003823996,null
Init,0,0,0,0.004079044,null
Init,0,0,0,0.004155993,null
Init,0,0,0,0.003795981,null
Init,0,0,0,0.004083991,null
Init,0,0,0,0.004105985,null
Init,0,0,0,0.004211009,null
Init,0,0,0,0.003755033,null
Init,0,0,0,0.003834009,null
Init,0,0,0,0.004085004,null
Init,0,0,0,0.003880978,null
Init,0,0,0,0.004150987,null
Init,0,0,0,0.003908992,null
Init,0,0,0,0.004222035,null
Init,0,0,0,0.003811955,null
Init,0,0,0,0.003983021,null
Init,0,0,0,0.004188001,null
Init,0,0,0,0.004004002,null
Init,0,0,0,0.004086018,null
Init,0,0,0,0.004068971,null
Init,0,0,0,0.003560007,null
Init,0,0,0,0.004229009,null
Init,0,0,0,0.004234016,null
Init,0,0,0,0.003785968,null
Init,0,0,0,0.003814042,null
Init,0,0,0,0.00406599,null
Init,0,0,0,0.004107952,null
Init,0,0,0,0.004118025,null
Init,0,0,0,0.003897011,null
Init,0,0,0,0.004040003,null
Init,0,0,0,0.004023015,null
Init,0,0,0,0.003864944,null
Init,0,0,0,0.003917038,null
Init,0,0,0,0.004140019,null
Init,0,0,0,0.003749967,null
Init,0,0,0,0.004058003,null
Init,0,0,0,0.003947973,null
Init,0,0,0,0.004159033,null
Init,0,0,0,0.003937006,null
Init,0,0,0,0.004238963,null
Init,0,0,0,0.003888011,null
Init,0,0,0,0.003814042,null
Init,0,0,0,0.004058957,null
Init,0,0,0,0.003921032,null
Init,0,0,0,0.004375994,null
Init,0,0,0,0.003865004,null
Init,0,0,0,0.004260004,null
Init,0,0,0,0.003776968,null
Init,0,0,0,0.003832996,null
Init,0,0,0,0.003933012,null
Init,0,0,0,0.004198015,null
Init,0,0,0,0.003902972,null
Init,0,0,0,0.003872037,null
Init,0,0,0,0.004072011,null
Init,0,0,0,0.004114985,null
Init,0,0,0,0.003924966,null
Init,0,0,0,0.004088044,null
Init,0,0,0,0.004104972,null
Init,0,0,0,0.003847003,null
Init,0,0,0,0.004037976,null
Init,0,0,0,0.003959,null
Init,0,0,0,0.004050016,null
Init,0,0,0,0.003978014,null
Init,0,0,0,0.004105985,null
Init,0,0,0,0.003948987,null
Init,0,0,0,0.003850043,null
Init,0,0,0,0.004082978,null
Init,0,0,0,0.003871977,null
Init,0,0,0,0.004120052,null
Init,0,0,0,0.003966987,null
Init,0,0,0,0.003982008,null
Init,0,0,0,0.004189968,null
Init,0,0,0,0.003829002,null
Init,0,0,0,0.004105985,null
Init,0,0,0,0.003868043,null
Init,0,0,0,0.00405997,null
Init,0,0,0,0.004324019,null
Init,0,0,0,0.003746986,null
Init,0,0,0,0.00386101,null
Init,0,0,0,0.003942013,null
Init,0,0,0,0.004036963,null
Init,0,0,0,0.003995001,null
Init,0,0,0,0.004177034,null
Init,0,0,0,0.00384599,null
Init,0,0,0,0.003988981,null
Init,0,0,0,0.003961027,null
Init,0,0,0,0.00403899,null
Init,0,0,0,0.004216969,null
Init,0,0,0,0.003948033,null
Init,0,0,0,0.003920019,null
Init,0,0,0,0.003990948,null
Init,0,0,0,0.003957033,null
Init,0,0,0,0.003889024,null
Init,0,0,0,0.004346967,null
Init,0,0,0,0.01415801,null
Init,0,0,0,0.011069,null
Init,0,0,0,0.002353966,null
Init,0,0,0,0.004779041,null
